nombre,categoria,rating_gral,total_reviews_google,direccion,latitud,longitud,url,barrio,zona,cerca_rio
JK Burger Store - Hamburguesas Neuquén Capital,Hamburger restaurant,"4,4",289,"Juan Bautista Alberdi 53, Q8300 Neuquén, Argentina",-38.9530913,-68.0582151,https://www.google.com/maps/place/JK+Burger+Store+-+Hamburguesas+Neuqu%C3%A9n+Capital/data=!4m7!3m6!1s0x960a337a1f0f0aaf:0x462fcc63c1563fca!8m2!3d-38.9530913!4d-68.0582151!16s%2Fg%2F11sn_7b3wp!19sChIJrwoPH3ozCpYRyj9WwWPML0Y?authuser=0&hl=en&rclk=1,ÁREA CENTRO ESTE,Otras Zonas,False
Ensamble Bar,Bar,"4,8",63,"San Martín 2661, Q8302 Neuquén, Argentina",-38.954629,-68.0962859,https://www.google.com/maps/place/Ensamble+Bar/data=!4m7!3m6!1s0x960a3328acd10d53:0xd22e85bb70e4e18!8m2!3d-38.954629!4d-68.0962859!16s%2Fg%2F11jt6stgjn!19sChIJUw3RrCgzCpYRGE4Ot1voIg0?authuser=0&hl=en&rclk=1,EL PROGRESO,Otras Zonas,False
"MUTISIA Cerveza | Cerveceria , Bar y Fábrica",Beer hall,"4,9",76,"Bartolomé Mitre 1174, Q8300 Neuquén, Argentina",-38.957132,-68.0428413,"https://www.google.com/maps/place/MUTISIA+Cerveza+%7C+Cerveceria+,+Bar+y+F%C3%A1brica/data=!4m7!3m6!1s0x960a31a7b90a8569:0xf32bfd289fa66e35!8m2!3d-38.957132!4d-68.0428413!16s%2Fg%2F11t2595vly!19sChIJaYUKuacxCpYRNW6mnyj9K_M?authuser=0&hl=en&rclk=1",MARIANO MORENO,Otras Zonas,False
Bar Neuquen,Bar,"2,5",4,"Hipólito Yrigoyen 305 8300, Q8300 Neuquén, Argentina",-38.9524409,-68.0603991,https://www.google.com/maps/place/Bar+Neuquen/data=!4m7!3m6!1s0x960a33a63efd32d1:0xa30bd62db6db015b!8m2!3d-38.9524409!4d-68.0603991!16s%2Fg%2F11ghfr6y1r!19sChIJ0TL9PqYzCpYRWwHbti3WC6M?authuser=0&hl=en&rclk=1,ÁREA CENTRO ESTE,Otras Zonas,False
Amedea,Lounge,"4,2",113,"Perito Moreno 677, Q8302GEA Neuquén, Argentina",-38.9583239,-68.0498646,https://www.google.com/maps/place/Amedea/data=!4m7!3m6!1s0x960a322aebfe6da3:0xaa9822283987eacf!8m2!3d-38.9583239!4d-68.0498646!16s%2Fg%2F1q629y02y!19sChIJo23-6yoyCpYRz-qHOSgimKo?authuser=0&hl=en&rclk=1,ÁREA CENTRO SUR,Otras Zonas,False
DALLA'S,Bar,"3,1",74,"Bv. 25 de Mayo 66, Q8302 Neuquén, Argentina",-38.9523627,-68.0580599,https://www.google.com/maps/place/DALLA%27S/data=!4m7!3m6!1s0x960a33003f6cc6eb:0x2eda2c98831b7ee1!8m2!3d-38.9523627!4d-68.0580599!16s%2Fg%2F11y7d_1clt!19sChIJ68ZsPwAzCpYR4X4bg5gs2i4?authuser=0&hl=en&rclk=1,ÁREA CENTRO ESTE,Otras Zonas,False
Perroni Pizza - Elordi,Pizza restaurant,"4,8",35,"Gdor. Elordi 801, Q8300 Neuquén, Argentina",-38.9494742,-68.0706795,https://www.google.com/maps/place/Perroni+Pizza+-+Elordi/data=!4m7!3m6!1s0x960a33df6fd8cde7:0x1fbeb877e8ac88df!8m2!3d-38.9494742!4d-68.0706795!16s%2Fg%2F11xs1ypvnh!19sChIJ583Yb98zCpYR34is6He4vh8?authuser=0&hl=en&rclk=1,ÁREA CENTRO OESTE,Otras Zonas,False
Shelter,Bar,"2,8",33,"Gral. Manuel Belgrano 58, Q8300 Neuquén, Argentina",-38.9509891,-68.060141,https://www.google.com/maps/place/Shelter/data=!4m7!3m6!1s0x960a334bfb2ba7c3:0x278674d24eebbb09!8m2!3d-38.9509891!4d-68.060141!16s%2Fg%2F11v1b2wpgy!19sChIJw6cr-0szCpYRCbvrTtJ0hic?authuser=0&hl=en&rclk=1,ÁREA CENTRO ESTE,Otras Zonas,False
NINAROLL,Brewpub,"5,0",2,"Mendoza 247, Q8300 Neuquén, Argentina",-38.9524983,-68.0533126,https://www.google.com/maps/place/NINAROLL/data=!4m7!3m6!1s0x960a33d6abce4eab:0x3ce9f00a0a58ceb9!8m2!3d-38.9524983!4d-68.0533126!16s%2Fg%2F11dxdf8s06!19sChIJq07Oq9YzCpYRuc5YCgrw6Tw?authuser=0&hl=en&rclk=1,ÁREA CENTRO ESTE,Otras Zonas,False
Zero Grau,Restaurant,"3,7",3,"Alderete 511, Q8300 Neuquén, Argentina",-38.9509068,-68.0518846,https://www.google.com/maps/place/Zero+Grau/data=!4m7!3m6!1s0x960a33e14186e047:0xd62d553b8e615fd3!8m2!3d-38.9509068!4d-68.0518846!16s%2Fg%2F11tdlw823p!19sChIJR-CGQeEzCpYR019hjjtVLdY?authuser=0&hl=en&rclk=1,ÁREA CENTRO ESTE,Otras Zonas,False
