link,nombre,categoria,razon_rechazo,query_original,fecha_scraping,fecha_validacion
https://www.google.com/maps/place/Orsai/data=!4m7!3m6!1s0x960a3222c92e2517:0x9fabd6bda707813f!8m2!3d-38.9773008!4d-68.0584734!16s%2Fg%2F11clvgnzkh!19sChIJFyUuySIyCpYRP4EHp73Wq58?authuser=0&hl=en&rclk=1,Orsai,Soccer field,"Es un campo de fútbol, no vende comida como función principal",Parrilla en Centro Neuquén Capital,2026-01-07T10:48:26.299637,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/Bar+Artes/data=!4m7!3m6!1s0x960a336a071fb2bb:0xa54764ff97667d55!8m2!3d-38.9530145!4d-68.0644984!16s%2Fg%2F11h4gvyq9q!19sChIJu7IfB2ozCpYRVX1ml_9kR6U?authuser=0&hl=en&rclk=1,Bar Artes,Event venue,"Es un evento venue (lugar para eventos), su función principal no es vender comida/bebida, sino albergar eventos",Bar en Zona Oeste Neuquén Capital,2026-01-07T10:49:08.401469,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/CERVECERIA+BURDEN/data=!4m7!3m6!1s0x960a33d7a03c99ad:0x7ef841e5f4ab9944!8m2!3d-38.9479158!4d-68.0504869!16s%2Fg%2F11g733f8sf!19sChIJrZk8oNczCpYRRJmr9OVB-H4?authuser=0&hl=en&rclk=1,CERVECERIA BURDEN,Liquor store,"Liquor store (tienda de licores), su función principal es la venta minorista de bebidas alcohólicas para llevar, no para consumir en el lugar",Bar en Zona Oeste Neuquén Capital,2026-01-07T10:49:08.401469,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/Casino+Magic+Hotel+%26+Casino/data=!4m7!3m6!1s0x960a331743169d4b:0xb5ce25da3c7ab25a!8m2!3d-38.9579982!4d-68.1144088!16s%2Fg%2F1th5__nc!19sChIJS50WQxczCpYRWrJ6PNolzrU?authuser=0&hl=en&rclk=1,Casino Magic Hotel & Casino,Hotel,"Es un hotel y casino, su función principal no es la venta de comida o bebidas.",Bar en Zona Oeste Neuquén Capital,2026-01-07T10:49:08.401469,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/La+vereda+cultural/data=!4m7!3m6!1s0x960a33e770824dd3:0x7dc90b08c7b779b!8m2!3d-38.9579053!4d-68.063794!16s%2Fg%2F11vys2vzdg!19sChIJ002CcOczCpYRm3d7jLCQ3Ac?authuser=0&hl=en&rclk=1,La vereda cultural,Cultural center,"Es un centro cultural, su función principal no es la venta de comida o bebidas.",Bar en Zona Oeste Neuquén Capital,2026-01-07T10:49:08.401469,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/Confetti+Multieventos/data=!4m7!3m6!1s0x960a33269f66bb49:0xe678259480e1b170!8m2!3d-38.9583209!4d-68.0698954!16s%2Fg%2F11stndynbl!19sChIJSbtmnyYzCpYRcLHhgJQleOY?authuser=0&hl=en&rclk=1,Confetti Multieventos,Children hall,"Children hall es un salón para eventos infantiles, no su función principal es vender comida.",Bar en Zona Oeste Neuquén Capital,2026-01-07T10:49:08.401469,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/Chefs+School+Patag%C3%B3nicos/data=!4m7!3m6!1s0x960a3179297d3049:0xfd553b54f21559b3!8m2!3d-38.9526528!4d-68.0415788!16s%2Fg%2F11bbrmnrlb!19sChIJSTB9KXkxCpYRs1kV8lQ7Vf0?authuser=0&hl=en&rclk=1,Chefs School Patagónicos,Cooking school,"Es una escuela de cocina, no un establecimiento que venda comida para consumir en el acto",Bar en Zona Oeste Neuquén Capital,2026-01-07T10:49:08.401469,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/Paseo+de+la+Costa/data=!4m7!3m6!1s0x960a32203113e6c7:0x1ec9e5b4b83d4aa7!8m2!3d-38.9791753!4d-68.0536146!16s%2Fg%2F1hc7zkxpw!19sChIJx-YTMSAyCpYRp0o9uLTlyR4?authuser=0&hl=en&rclk=1,Paseo de la Costa,Park,"Es un parque, su función principal no es vender comida o bebidas",Bar en Zona Oeste Neuquén Capital,2026-01-07T10:49:08.401469,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/XD+espacio+de+juegos/data=!4m7!3m6!1s0x960a335a9d9f58b9:0xed9d0b9f5cd93837!8m2!3d-38.9586009!4d-68.0510578!16s%2Fg%2F11y5fcf6tv!19sChIJuVifnVozCpYRNzjZXJ8Lne0?authuser=0&hl=en&rclk=1,XD espacio de juegos,Store,"Es una tienda (probablemente de juegos), no un establecimiento gastronómico",Bar en Zona Oeste Neuquén Capital,2026-01-07T10:49:08.401469,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/Estadio+Ruca+Che/data=!4m7!3m6!1s0x960a336c81915b23:0xc77225bf7fc1052d!8m2!3d-38.9468684!4d-68.1138323!16s%2Fg%2F12111kgh!19sChIJI1uRgWwzCpYRLQXBf78lcsc?authuser=0&hl=en&rclk=1,Estadio Ruca Che,Arena,"Es un estadio o arena, su función principal es albergar eventos deportivos o espectáculos, no vender comida como actividad principal.",Bar en Zona Oeste Neuquén Capital,2026-01-07T10:49:08.401469,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/Centro+empleados+de+comercio/data=!4m7!3m6!1s0x960a33004f5cea2d:0x3d4a4cd21de2dec4!8m2!3d-38.9584025!4d-68.0501496!16s%2Fg%2F11xsycc870!19sChIJLepcTwAzCpYRxN7iHdJMSj0?authuser=0&hl=en&rclk=1,Centro empleados de comercio,Lounge,"Es un centro o lounge para empleados, su función principal no es la venta de comida o bebidas al público.",Bar en Zona Oeste Neuquén Capital,2026-01-07T10:49:08.401469,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/Convidame/data=!4m7!3m6!1s0x960a33b6670c4971:0x7448a497ed9052b3!8m2!3d-38.9483527!4d-68.0564338!16s%2Fg%2F11ln5r5y1l!19sChIJcUkMZ7YzCpYRs1KQ7ZekSHQ?authuser=0&hl=en&rclk=1,Convidame,Natural goods store,"Es una tienda de productos naturales, no un establecimiento gastronómico",Pastelería en Zona Alto Neuquén Capital,2026-01-07T10:49:47.655947,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/Papelera+Neuqu%C3%A9n/data=!4m7!3m6!1s0x960a3232b1567d73:0xceb739b7052169f9!8m2!3d-38.9591912!4d-68.0598635!16s%2Fg%2F1tfv69v1!19sChIJc31WsTIyCpYR-WkhBbc5t84?authuser=0&hl=en&rclk=1,Papelera Neuquén,Party store,"Es una papelería/tienda de fiestas, no vende comida como función principal",Pastelería en Zona Alto Neuquén Capital,2026-01-07T10:49:47.655947,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/Convidame/data=!4m7!3m6!1s0x960a33188d9a93ed:0x402b3d635fc6107c!8m2!3d-38.9506519!4d-68.0630502!16s%2Fg%2F11lky5_mdw!19sChIJ7ZOajRgzCpYRfBDGX2M9K0A?authuser=0&hl=en&rclk=1,Convidame,Natural goods store,"Es una tienda de productos naturales, no un establecimiento gastronómico",Pastelería en Zona Alto Neuquén Capital,2026-01-07T10:49:47.655947,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/RULITO/data=!4m7!3m6!1s0x960a33d2c56e2bcf:0xbbe3e4f899ca51e8!8m2!3d-38.9579318!4d-68.0574004!16s%2Fg%2F1tmkm54m!19sChIJzytuxdIzCpYR6FHKmfjk47s?authuser=0&hl=en&rclk=1,RULITO,Party store,"Es una tienda de artículos para fiestas (party store), no vende comida como función principal",Pastelería en Zona Alto Neuquén Capital,2026-01-07T10:49:47.655947,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/COTILLON+KROSTY/data=!4m7!3m6!1s0x960a33cc7e7106fd:0xa8065f3d234c4754!8m2!3d-38.9572141!4d-68.065947!16s%2Fg%2F11b70ftyy0!19sChIJ_QZxfswzCpYRVEdMIz1fBqg?authuser=0&hl=en&rclk=1,COTILLON KROSTY,Party store,"Es una tienda de artículos para fiestas (party store), no vende comida como función principal",Pastelería en Zona Alto Neuquén Capital,2026-01-07T10:49:47.655947,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/Hipermercado+COTO/data=!4m7!3m6!1s0x960a33c2346321ab:0x4eded95a3c8afbc4!8m2!3d-38.9413276!4d-68.0632277!16s%2Fg%2F11bbrjmp0k!19sChIJqyFjNMIzCpYRxPuKPFrZ3k4?authuser=0&hl=en&rclk=1,Hipermercado COTO,Hypermarket,"Es un hipermercado, su función principal es la venta de productos generales, no específicamente gastronómica",Pastelería en Zona Alto Neuquén Capital,2026-01-07T10:49:47.655947,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/Catania+Comidas/data=!4m7!3m6!1s0x960a33d6d2fab9fb:0xef7bf15c26361bad!8m2!3d-38.9506663!4d-68.053804!16s%2Fg%2F11b70ggc9d!19sChIJ-7n60tYzCpYRrRs2Jlzxe-8?authuser=0&hl=en&rclk=1,Catania Comidas,Supermarket,"Categorizado como supermercado, no es un establecimiento gastronómico principal",Pizzería en Zona Oeste Neuquén Capital,2026-01-07T10:50:26.832078,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/La+Pescader%C3%ADa+del+Neuquen/data=!4m7!3m6!1s0x960a33d060ced5df:0x6bc822a6b7ab5b86!8m2!3d-38.9492157!4d-68.0572988!16s%2Fg%2F1tf3_kr7!19sChIJ39XOYNAzCpYRhlurt6YiyGs?authuser=0&hl=en&rclk=1,La Pescadería del Neuquen,Seafood market,"Es un mercado de mariscos, su función principal es la venta de productos frescos, no preparar/comer en el lugar",Donde comer en Zona Este Neuquén Capital,2026-01-07T10:51:26.268619,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/Hilton+Garden+Inn+Neuquen/data=!4m7!3m6!1s0x960a33dcd262fd75:0x9e24c6c30dffb0e3!8m2!3d-38.9419064!4d-68.059576!16s%2Fg%2F11c58q78_0!19sChIJdf1i0twzCpYR47D_DcPGJJ4?authuser=0&hl=en&rclk=1,Hilton Garden Inn Neuquen,Hotel,"Es un hotel, su función principal no es la venta de comida",Donde comer en Zona Este Neuquén Capital,2026-01-07T10:51:26.268619,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/Alto+Comahue+Shopping/data=!4m7!3m6!1s0x960a33c2186cc4cb:0xf058c50fb5d3a1f1!8m2!3d-38.9415363!4d-68.0651978!16s%2Fg%2F11ckr4mfb7!19sChIJy8RsGMIzCpYR8aHTtQ_FWPA?authuser=0&hl=en&rclk=1,Alto Comahue Shopping,Shopping mall,"Es un centro comercial, su función principal no es la venta de comida",Donde comer en Zona Este Neuquén Capital,2026-01-07T10:51:26.268619,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/BARRICA+VINOTECA+%28Mercantiles%29/data=!4m7!3m6!1s0x960a33862515ab6d:0x13b8377f66bd9493!8m2!3d-38.9271002!4d-68.0841372!16s%2Fg%2F11cjkmhp2t!19sChIJbasVJYYzCpYRk5S9Zn83uBM?authuser=0&hl=en&rclk=1,BARRICA VINOTECA (Mercantiles),Wine store,"Es una vinoteca (tienda de vinos), su función principal es la venta minorista de bebidas, no para consumo inmediato en el lugar",Cervecería en Centro Neuquén Capital,2026-01-07T10:52:44.481160,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/Growler/data=!4m7!3m6!1s0x960a33c30b4b4749:0xa1809b1cbf685826!8m2!3d-38.9432747!4d-68.0623274!16s%2Fg%2F11c1phpx8x!19sChIJSUdLC8MzCpYRJlhovxybgKE?authuser=0&hl=en&rclk=1,Growler,Beer store,"Es una tienda de cerveza, su función principal es la venta minorista de bebidas, no para consumo inmediato en el lugar",Cervecería en Centro Neuquén Capital,2026-01-07T10:52:44.481160,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/Cardos+wine+%26+beer/data=!4m7!3m6!1s0x960a3384845a38b7:0x9336b070bb9144d7!8m2!3d-38.9505257!4d-68.0757402!16s%2Fg%2F11w_jqvp0p!19sChIJtzhahIQzCpYR10SRu3CwNpM?authuser=0&hl=en&rclk=1,Cardos wine & beer,Liquor store,"Es una licorería (tienda de licores), su función principal es la venta minorista de bebidas, no para consumo inmediato en el lugar",Cervecería en Centro Neuquén Capital,2026-01-07T10:52:44.481160,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/4+REINAS/data=!4m7!3m6!1s0x960a332a7f9c797f:0xd2448a60d2bc9230!8m2!3d-38.958962!4d-68.0772574!16s%2Fg%2F11fj9ctrpt!19sChIJf3mcfyozCpYRMJK80mCKRNI?authuser=0&hl=en&rclk=1,4 REINAS,Beer distributor,"Es un distribuidor de cerveza (venta al por mayor/minorista), no un lugar para consumir en el sitio",Cervecería en Centro Neuquén Capital,2026-01-07T10:52:44.481160,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/Qu%C3%A9+Pinta+Hoy%3F!+Almac%C3%A9n+de+bebidas/data=!4m7!3m6!1s0x960a33b62db3fcc9:0x4777b162015c9178!8m2!3d-38.9613916!4d-68.0560182!16s%2Fg%2F11vf07mm65!19sChIJyfyzLbYzCpYReJFcAWKxd0c?authuser=0&hl=en&rclk=1,Qué Pinta Hoy?! Almacén de bebidas,Liquor store,"Es una tienda de licores (venta de bebidas alcohólicas para llevar), no un lugar para consumir en el sitio",Cervecería en Centro Neuquén Capital,2026-01-07T10:52:44.481160,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/Mei+ji+shi+tang/data=!4m7!3m6!1s0x960a33b7b069182f:0x3a0988085aa05466!8m2!3d-38.957446!4d-68.063361!16s%2Fg%2F11t462946m!19sChIJLxhpsLczCpYRZlSgWgiICTo?authuser=0&hl=en&rclk=1,Mei ji shi tang,Variety store,"Es una tienda de variedades, no su función principal es vender comida para consumir",Restaurant en Zona Oeste Neuquén Capital,2026-01-07T10:53:39.011187,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/Natural+Shanti/data=!4m7!3m6!1s0x960a33d3eb5032a5:0xe7d3a74de4fc1df7!8m2!3d-38.9541692!4d-68.0550421!16s%2Fg%2F1q62h70dr!19sChIJpTJQ69MzCpYR9x385E2n0-c?authuser=0&hl=en&rclk=1,Natural Shanti,Natural goods store,"Es una tienda de productos naturales, no un establecimiento gastronómico principal.",Cafetería en Centro Neuquén Capital,2026-01-07T10:54:18.303709,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/Los+Sabores+de+la+T%C3%ADa/data=!4m7!3m6!1s0x960a33c91ea46f25:0x7dd8a6ec7e650524!8m2!3d-38.9531641!4d-68.067559!16s%2Fg%2F11hbqb721r!19sChIJJW-kHskzCpYRJAVlfuym2H0?authuser=0&hl=en&rclk=1,Los Sabores de la Tía,Health food store,"Es una tienda de alimentos saludables, no un restaurante o cafetería.",Comida saludable en Neuquén Capital,2026-01-07T10:54:57.501191,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/Ohana+Sana+Tentaci%C3%B3n/data=!4m7!3m6!1s0x960bcd6f802825f3:0xd72f5c7fa12f7f5b!8m2!3d-38.948614!4d-68.1144875!16s%2Fg%2F11j7dnb7dd!19sChIJ8yUogG_NC5YRW38voX9cL9c?authuser=0&hl=en&rclk=1,Ohana Sana Tentación,Natural goods store,"Es una tienda de productos naturales, no un establecimiento para consumir comida/bebidas en el lugar o delivery",Comida saludable en Neuquén Capital,2026-01-07T10:54:57.501191,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/Oh+My+Veggie/data=!4m7!3m6!1s0x960a33d18f8eafe3:0x45f6c0c37d486345!8m2!3d-38.9528426!4d-68.0573924!16s%2Fg%2F11gg659vkt!19sChIJ46-Oj9EzCpYRRWNIfcPA9kU?authuser=0&hl=en&rclk=1,Oh My Veggie,Health food store,"Es una tienda de alimentos saludables, no un establecimiento para consumir comida/bebidas en el lugar o delivery",Comida saludable en Neuquén Capital,2026-01-07T10:54:57.501191,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/Destino+Veggie+-+Tienda+Saludable/data=!4m7!3m6!1s0x960a31dfca467e53:0x575d4afe522d6a1!8m2!3d-38.9511138!4d-68.0286792!16s%2Fg%2F11hm44p_09!19sChIJU35Gyt8xCpYRodYi5a_UdQU?authuser=0&hl=en&rclk=1,Destino Veggie - Tienda Saludable,Natural goods store,"Es una tienda de productos naturales/saludables, no un establecimiento para consumir comida/bebidas en el lugar o delivery",Comida saludable en Neuquén Capital,2026-01-07T10:54:57.501191,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/LA+BOUTIQUE+DEL+YUYO/data=!4m7!3m6!1s0x960a33734afa2759:0xb53e039e473c3b24!8m2!3d-38.9473058!4d-68.1027794!16s%2Fg%2F11b73kc337!19sChIJWSf6SnMzCpYRJDs8R54DPrU?authuser=0&hl=en&rclk=1,LA BOUTIQUE DEL YUYO,Natural goods store,"Es una tienda de productos naturales, no un establecimiento para consumir comida/bebidas en el lugar o delivery",Comida saludable en Neuquén Capital,2026-01-07T10:54:57.501191,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/Alimentos+saludables+Mishky+Ulpu/data=!4m7!3m6!1s0x960a33ba4f19d1c1:0x8373eaed68864849!8m2!3d-38.95084!4d-68.0795299!16s%2Fg%2F11b720xdrc!19sChIJwdEZT7ozCpYRSUiGaO3qc4M?authuser=0&hl=en&rclk=1,Alimentos saludables Mishky Ulpu,Health food store,"Es una tienda de alimentos saludables, no un establecimiento para consumir comida/bebidas en el lugar o delivery",Comida saludable en Neuquén Capital,2026-01-07T10:54:57.501191,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/PACHAM%C3%8DA+ALMAC%C3%89N+SALUDABLE/data=!4m7!3m6!1s0x960a332bcd0dc6db:0xfd51d98be373518d!8m2!3d-38.9287041!4d-68.0753146!16s%2Fg%2F11llphrxnn!19sChIJ28YNzSszCpYRjVFz44vZUf0?authuser=0&hl=en&rclk=1,PACHAMÍA ALMACÉN SALUDABLE,Grocery store,"Es una tienda de abarrotes/almacén, no un establecimiento para consumir comida/bebidas en el lugar o delivery",Comida saludable en Neuquén Capital,2026-01-07T10:54:57.501191,2026-01-07T13:15:41.291115
https://www.google.com/maps/place/Cascanueces+Almac%C3%A9n+Saludable/data=!4m7!3m6!1s0x960a33b9b8b95c81:0x621c09d0554a56a!8m2!3d-38.9507532!4d-68.0756316!16s%2Fg%2F11dfv51vm1!19sChIJgVy5uLkzCpYRaqVUBZ3AIQY?authuser=0&hl=en&rclk=1,Cascanueces Almacén Saludable,Health food store,"Es un almacén de alimentos saludables, no un establecimiento para consumir comida/bebidas en el lugar o delivery",Comida saludable en Neuquén Capital,2026-01-07T10:54:57.501191,2026-01-07T13:15:41.291115
